src_ip,dst_ip,protocol,src_port,dst_port,packet_size,timestamp,inter_arrival_time,avg_packet_size,packet_size_variance,jitter,packets_per_second,bytes_per_second,concurrent_connections,failed_connections,retransmission_rate,src_port_entropy,dst_port_entropy,protocol_entropy,packet_size_entropy,slice_type,5qi,priority_level,max_delay_budget,gNB_id,amf_id,upf_id,nssai,tac,ran_ue_id,pdu_session_id,attack_type,is_malicious,attack_category,packet_size_ratio,connection_success_rate,traffic_intensity
10.5.44.152,10.6.216.9,6,15352,239,601.8396106648125,1768206344.1834426,0.010464160047186926,601.8396106648125,132.52286768609238,0.0001774682742003863,95.56428757689245,57514.373628737136,4,1,0.0020787955107602276,15.999977986052736,9.99859042974533,1.0,6.766742734091497,eMBB,6,10,300,gNB_002,AMF_05,UPF_02,SST6-SD328,9145,2719583,11,Normal,0,benign,1.0,0.75,0.05751437362873713
10.5.229.151,10.6.142.208,6,46777,433,327.36887614953093,1768203290.1835132,0.02675098443823132,327.36887614953093,2.872384266170971,0.002531635252048889,37.381801866358394,12237.638465434185,4,0,0.006616042431060679,15.999977986052736,9.99859042974533,1.0,7.645204628892169,IndustrialIoT,7,12,100,gNB_039,AMF_01,UPF_05,SST7-SD303,46926,8038374,4,Normal,0,benign,1.0,1.0,0.012237638465434186
10.5.194.25,10.6.183.217,1,18359,827,130.70279266591672,1768247521.1835456,0.015460960018385159,130.70279266591672,50.28195989650205,0.0017822633459431392,64.67903667112945,8453.730719857856,3,1,0.009923195439209748,15.999977986052736,9.99859042974533,0.5,8.969831829419906,mMTC,9,15,1000,gNB_018,AMF_03,UPF_02,SST9-SD881,22060,2714803,2,Normal,0,benign,1.0,0.6666666666666667,0.008453730719857857
10.5.150.213,10.6.185.148,1,5582,47,810.8176784113364,1768227642.1835728,0.016890771982096996,810.8176784113364,98.25807987453142,0.00015650222300736237,59.203925140895166,48003.58913557917,2,0,0.002931018059024786,15.999977986052736,9.99859042974533,0.5,6.3367442517771915,eMBB,6,10,300,gNB_047,AMF_08,UPF_05,SST6-SD227,63775,7350753,2,Normal,0,benign,1.0,1.0,0.048003589135579165
10.5.142.117,10.6.186.42,17,14754,687,576.2977771319942,1768250959.1835957,0.028341372844519357,576.2977771319942,29.5861880631493,0.00021957724844343777,35.28410587186427,20334.151782045323,3,0,0.01212125045891013,15.999977986052736,9.99859042974533,1.0,6.829307341236451,URLLC,3,1,10,gNB_050,AMF_05,UPF_01,SST3-SD975,15257,2694522,7,Normal,0,benign,1.0,1.0,0.020334151782045323
10.5.125.42,10.6.236.98,1,46123,571,1171.544217841018,1768237821.183619,0.06000953435297878,1171.544217841018,40.05235241056735,0.005858737990291784,16.664018656068134,19522.634702511474,2,0,0.013492315865331632,15.999977986052736,9.99859042974533,0.5,5.805782294218139,mMTC,9,15,1000,gNB_045,AMF_02,UPF_05,SST9-SD750,11216,9961380,12,Normal,0,benign,1.0,1.0,0.019522634702511473
10.5.161.103,10.6.137.17,1,58457,736,1338.037498339605,1768230092.1836412,0.01904785732195553,1338.037498339605,108.92435701542493,0.0015693291451928633,52.49934326457544,70246.0899262047,4,0,0.0003454968664680756,15.999977986052736,9.99859042974533,0.5,5.614075153490103,URLLC,3,1,10,gNB_044,AMF_06,UPF_01,SST3-SD334,53858,1538552,13,Normal,0,benign,1.0,1.0,0.07024608992620471
10.5.71.64,10.6.134.192,17,59863,598,515.4151888256051,1768279061.1836627,0.01793034920551963,515.4151888256051,69.94263059006393,0.0025259364158344896,55.77136220482325,28745.40718186019,2,0,0.025306560370278737,15.999977986052736,9.99859042974533,1.0,6.9903867435187825,mMTC,9,15,1000,gNB_014,AMF_08,UPF_04,SST9-SD758,30072,3396987,5,Normal,0,benign,1.0,1.0,0.02874540718186019
10.5.24.221,10.6.56.40,6,52933,697,973.567794348968,1768284679.1836824,0.011308193688484722,973.567794348968,53.60162531459335,0.0008764979819358993,88.43145311689459,86094.01476208924,4,0,0.016141299930772235,15.999977986052736,9.99859042974533,1.0,6.072840351831055,V2X,2,5,20,gNB_024,AMF_04,UPF_02,SST2-SD621,32344,2525206,13,Normal,0,benign,1.0,1.0,0.08609401476208924
10.5.128.249,10.6.5.175,1,59009,550,73.98325944278984,1768217453.1837027,0.017867589899127272,73.98325944278984,21.292278714920656,0.0007359813580913858,55.967257231980916,4140.640112095,8,0,0.0035333214292279738,15.999977986052736,9.99859042974533,0.5,9.790851029222495,V2X,2,5,20,gNB_039,AMF_02,UPF_04,SST2-SD490,39053,8852574,9,Normal,0,benign,1.0,1.0,0.004140640112095
10.5.1.245,10.6.134.249,6,34295,935,939.3343835951318,1768268051.1837225,0.018102459602188346,939.3343835951318,71.52298863153166,0.0012169778703424441,55.24111209059753,51889.87597473102,7,0,0.0074896251544328005,15.999977986052736,9.99859042974533,1.0,6.124482977398278,mMTC,9,15,1000,gNB_050,AMF_06,UPF_01,SST9-SD400,28493,3653446,8,Normal,0,benign,1.0,1.0,0.05188987597473102
